company_id,period,revenue_consensus,ebitda_consensus,eps_consensus,guidance_low,guidance_high,revenue_est_ntm,ebitda_est_ntm,eps_est_ntm,num_analysts,revenue_est_ntm_30d_ago,eps_est_ntm_30d_ago,revenue_est_ntm_90d_ago,eps_est_ntm_90d_ago,next_earnings_date,source
META,2025-12-31,58484.79832915468,30193.306444632148,,,,210421.27690675898,110687.25621697416,63302.811729549096,5,209872.55106930947,63137.73389669003,209130.20497628066,62914.407645390864,,Synthetic demo series (derived from public demo actuals)
META,2026-03-31,56751.65482780625,28623.183875185132,,,,223317.21143726312,115837.97296313109,73330.59798346728,12,224891.43224970167,73847.524344813,229205.91759570377,75264.27045397765,,Synthetic demo series (derived from public demo actuals)
MSFT,2025-03-31,70251.73766057592,39852.35534122732,,,,,,,12,,,,,,Synthetic demo series (derived from public demo actuals)
MSFT,2025-06-30,74473.36956001735,42832.744556478014,,,,,,,12,,,,,,Synthetic demo series (derived from public demo actuals)
MSFT,2025-09-30,77506.13553846959,47915.454167733806,,,,,,,11,,,,,,Synthetic demo series (derived from public demo actuals)
MSFT,2025-12-31,82328.94156240072,59238.26722454769,,,,325244.2077833256,202714.2212830836,126989.33946844513,9,321582.2247606208,125559.5436594211,320035.93651230616,124955.80616438751,,Synthetic demo series (derived from public demo actuals)
MSFT,2026-03-31,84842.22678789793,51946.51593322426,,,,341454.6079539395,215595.97125680072,134336.1836836945,8,343604.5265909427,135182.01167429058,330921.63026408973,130192.26530415168,,Synthetic demo series (derived from public demo actuals)
NFLX,2025-03-31,10282.820919318821,7049.019845309583,,,,,,,8,,,,,,Synthetic demo series (derived from public demo actuals)
NFLX,2025-06-30,10925.237370447045,7576.125121150453,,,,,,,12,,,,,,Synthetic demo series (derived from public demo actuals)
NFLX,2025-09-30,11626.138120470945,7478.673893364788,,,,,,,7,,,,,,Synthetic demo series (derived from public demo actuals)
NFLX,2025-12-31,12022.959618221335,7826.992301757328,,,,47186.137359294946,31595.896157019193,11468.031027309165,12,47320.403726158605,11500.66287529011,46286.601195398085,11249.409431750151,,Synthetic demo series (derived from public demo actuals)
NFLX,2026-03-31,11802.941689216888,10557.500398504515,,,,49887.3460670009,36257.62500801714,14228.525710621405,6,49516.30108316447,14122.698812449207,50290.07039504309,14343.387973451445,,Synthetic demo series (derived from public demo actuals)
NGRD3.SA,2025-03-31,69.81617441195061,6.722157146735914,,,,,,,12,,,,,,Synthetic demo series (derived from public demo actuals)
NGRD3.SA,2025-06-30,68.4741038134245,3.6410111418753632,,,,,,,9,,,,,,Synthetic demo series (derived from public demo actuals)
NGRD3.SA,2025-09-30,67.42179691737675,17.27812707744311,,,,,,,11,,,,,,Synthetic demo series (derived from public demo actuals)
NGRD3.SA,2025-12-31,65.4597833865627,6.892091207716273,,,,292.9846505462652,37.40126010314799,-5.823021927266686,11,293.2143389602281,-5.827586946862257,288.81219511706183,-5.740095059222596,,Synthetic demo series (derived from public demo actuals)
NGRD3.SA,2026-03-31,65.05332810883618,1.4927295664938591,,,,288.13652153874756,31.722302126713434,-10.588468669647606,9,288.26243358352633,-10.59309569760696,291.7527846160955,-10.721359453818998,,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2025-03-31,372.50642012188246,41.309221952408734,,,,,,,11,,,,,,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2025-06-30,370.30977837568736,45.70715675808232,,,,,,,11,,,,,,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2025-09-30,371.3178279110686,54.084303496149104,,,,,,,12,,,,,,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2025-12-31,479.7063935233906,66.63156183245454,,,,1644.4979686577105,212.57421349333978,-12.421898058429825,11,1631.1553256348254,-12.321112922407078,1660.726175553336,-12.544479621661008,,Synthetic demo series (derived from public demo actuals)
PRNR3.SA,2026-03-31,424.0250648498293,125.78639253547877,,,,1658.7371364726382,293.5599567654715,44.292867263374006,12,1664.579782637315,44.44888206846194,1653.6067343620941,44.15587134359054,,Synthetic demo series (derived from public demo actuals)
TOTS3.SA,2024-12-31,1337.8479406770452,322.28634648942426,,,,,,,10,,,,,,Synthetic demo series (derived from public demo actuals)
TOTS3.SA,2025-03-31,1395.1320394706304,378.3099049279118,,,,,,,13,,,,,,Synthetic demo series (derived from public demo actuals)
TOTS3.SA,2025-06-30,1452.6273044473571,386.40364930600714,,,,,,,4,,,,,,Synthetic demo series (derived from public demo actuals)
TOTS3.SA,2025-12-31,1276.1511700615824,379.10293131448844,,,,5812.075769275425,1564.1429942268046,877.8932559613955,10,5828.201896785823,880.3290498409232,5885.809643495262,889.0304939264763,,Synthetic demo series (derived from public demo actuals)
TOTS3.SA,2026-03-31,1618.5435679792417,492.610643443741,,,,6236.229061334889,1789.9668683412413,938.2447769690189,6,6293.316982204015,946.8336923306387,6301.464191640963,948.0594453659918,,Synthetic demo series (derived from public demo actuals)
VLID3.SA,2025-03-31,500.2906276790343,129.87435293487152,,,,,,,11,,,,,,Synthetic demo series (derived from public demo actuals)
VLID3.SA,2025-06-30,494.1704560653208,139.33286411615978,,,,,,,5,,,,,,Synthetic demo series (derived from public demo actuals)
VLID3.SA,2025-09-30,530.5726864183107,143.0840056096094,,,,,,,13,,,,,,Synthetic demo series (derived from public demo actuals)
VLID3.SA,2025-12-31,532.779372253798,111.69477510525736,,,,2216.5779660313124,565.1203816559445,280.77516123053545,9,2228.3293968839193,282.26372149906405,2266.6691167725535,287.12023509715726,,Synthetic demo series (derived from public demo actuals)
VLID3.SA,2026-03-31,439.9460293149,137.54347123555556,,,,2199.8274597958875,587.479253328699,266.9342835265306,6,2203.226858702671,267.3467777462761,2139.021540640162,259.5558937388552,,Synthetic demo series (derived from public demo actuals)
